titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Abies alba,Acer,Achillea,Achillea millefolium,Aconitum,Aegopodium,Agrimonia,Agrostemma,Agrostis,Agrostis capillaris,Agrostis gigantea,Ajuga reptans,Alchemilla,Alisma gramineum,Alliaria,Alliaria petiolata,Allium schoenoprasum,Allium scorodoprasum,Allium ursinum,Alopecurus geniculatus,Alopecurus pratensis,Althaea,Anethum,Angelica,Angelica archangelica,Anthemis arvensis,Anthoxanthum,Anthoxanthum aristatum,Anthoxanthum odoratum,Anthriscus sylvestris,Apera,Aphanes,Arabidopsis,Arctium,Arctium lappa,Arctium minus,Arenaria,Armoracia,Arrhenatherum,Arrhenatherum elatius,Artemisia,Artemisia absinthium,Artemisia vulgaris,Aster novi-belgii,Atriplex,Avena fatua,Barbarea,Bellis,Betula,Brassica nigra,Bromus,Bromus hordeaceus,Bromus hordeaceus subsp. hordeaceus,Bromus secalinus,Bromus sterilis,Calamagrostis epigejos,Calystegia sepium,Carduus,Carduus crispus,Carex hirta,Carex ovalis,Carex riparia,Centaurea cyanus,Centaurea jacea,Cerastium,Cerastium fontanum subsp. vulgare,Cerastium glomeratum,Chaerophyllum temulum,Chamerion,Chelidonium,Chelidonium majus,Chenopodium bonus-henricus,Cichorium,Cichorium intybus,Cirsium arvense,Cirsium eriophorum,Cirsium oleraceum,Cirsium palustre,Cirsium vulgare,Claytonia,Claytonia perfoliata,Convolvulus arvensis,Crambe maritima,Crepis,Crepis biennis,Crepis capillaris,Cuscuta,Dactylis,Dactylis glomerata,Daucus carota,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dipsacus fullonum,Dryopteris carthusiana,Echinochloa,Elymus,Elymus repens,Epilobium,Epilobium ciliatum,Epilobium hirsutum,Epilobium montanum,Epilobium parviflorum,Epilobium tetragonum,Epilobium tetragonum subsp. tetrago,Equisetum arvense,Erigeron canadensis,Erodium cicutarium subsp. cicutariu,Eupatorium,Eupatorium cannabinum,Festuca arundinacea,Festuca rubra,Filago vulgaris,Foeniculum,Fragaria,Fragaria vesca,Galeobdolon luteum - cultivar 'Florentinum’,Galium aparine,Galium mollugo,Galium odoratum,Galium saxatile,Geranium,Geranium dissectum,Geranium molle,Geranium pratense,Geranium pusillum,Geranium pyrenaicum,Geranium robertianum,Geum rivale,Geum urbanum,Glechoma,Glechoma hederacea,Hedera,Hemerocallis,Heracleum,Heracleum sphondylium,Herniaria glabra,Hesperis,Hieracium aurantiacum,Holcus,Holcus lanatus,Hordeum,Hypericum maculatum,Hypericum perforatum,Hypochaeris,Hypochaeris radicata,Ilex,Iris pseudacorus,Juncus bufonius,Juncus conglomeratus,Juncus effusus,Lamium album,Lamium purpureum var. purpureum,Lapsana,Lapsana communis,Lemna minor,Leontodon autumnalis,Leucanthemum,Leucanthemum vulgare,Leymus,Lolium,Lolium perenne,Lolium x hybridum,Lonicera periclymenum,Lotus,Lotus corniculatus subsp. cornicula,Lotus uliginosus,Lunaria annua,Lupinus angustifolius,Lychnis flos-cuculi,Lycopus europaeus,Lysimachia,Lysimachia nummularia,Lysimachia vulgaris,Lythrum,Lythrum salicaria,Malva,Matricaria maritima,Matteuccia,Medicago sativa,Medicago x varia,Melissa,Mentha,Mentha aquatica,Mentha spicata,Mentha x niliaca,Mentha x piperita,Mercurialis annua,Myosotis,Myosotis arvensis,Oenothera,Oenothera biennis,Oenothera erythrosepala,Origanum vulgare,Oxalis,Oxycoccus macrocarpos,Papaver dubium,Papaver rhoeas,Pastinaca,Pastinaca sativa,Petasites japonicus,Phacelia,Phalaris arundinacea,Phleum pratense subsp. bertolonii,Phleum pratense subsp. pratense,Phragmites,Plantago,Plantago lanceolata,Plantago major,Plantago major subsp. major,Plantago media,Poa,Poa annua,Poa pratensis,Poa trivialis,Polygonum amphibium,Polygonum aviculare,Polygonum persicaria,Populus,Potentilla indica,Potentilla reptans,Primula,Primula elatior,Prunella vulgaris,Prunus cerasifera,Prunus domestica subsp. domestica,Prunus serotina,Pseudotsuga,Ranunculus,Ranunculus acris,Ranunculus arvensis,Ranunculus repens,Rhamnus,Rheum,Rhinanthus angustifolius,Rosmarinus,Rubus,Rubus caesius,Rubus idaeus,Rumex,Rumex acetosa,Rumex acetosella,Rumex conglomeratus,Rumex crispus,Rumex obtusifolius,Rumex obtusifolius subsp. obtusifol,Salix,Salix alba,Salvia officinalis,Sanguisorba minor,Scrophularia nodosa,Secale,Sedum telephium,Senecio jacobaea,Senecio jacobaea subsp. dunensis,Senecio jacobaea subsp. jacobaea,Silene dioica,Sinapis,Solanum dulcamara,Solidago canadensis,Solidago gigantea,Sonchus,Sonchus arvensis var. arvensis,Sonchus asper,Sonchus oleraceus,Sorbus,Sorbus aucuparia,Spergula arvensis,Stachys officinalis,Stellaria neglecta,Symphytum,Symphytum officinale,Tanacetum vulgare,Taraxacum,Taraxacum nordstedtii,Taraxacum officinale,Thalictrum aquilegifolium,Tragopogon pratensis subsp. pratens,Trifolium dubium,Trifolium pratense,Trifolium repens,Triticum aestivum,Tussilago farfara,Urtica,Urtica dioica,Valeriana,Valeriana officinalis,Verbascum thapsus,Verbena officinalis,Veronica,Veronica agrestis,Veronica arvensis,Veronica persica,Vicia,Vicia hirsuta,Vicia lathyroides,Vicia sativa subsp. sativa,Vinca,Viola arvensis,Viola canina,bestemming,dichtsbijzijnde natuur,plot,uitgangssituatie
Opgave: 18-nov-2024 – A 13-15 bij: voedselbos Goudsehout,Veen,15-60 centimeter onder het maaiveld,0.85,2015,5,8000,20241118,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,Schaars,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,Schaars,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,Zeldzaam,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,Zeldzaam,,,,,,,,,,,,,,"['Recreatie', 'Groen', 'Natuur']",Het voedselbos grenst aan natuur,[44834],Weiland
Opgave: 14-jul-2024 – bij: Voedselbos Woest,Kleigrond,60-120 centimeter onder het maaiveld,0.82,2021,1,20000,20240714,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,Zeldzaam,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,['Bos'],Het voedselbos grenst aan natuur,[37475],Weiland
Opgave: 14-jul-2024 – bij: Voedselbos Woest,Kleigrond,60-120 centimeter onder het maaiveld,0.84,2021,2,20000,20240714,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,Schaars,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,Zeldzaam,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,Zeldzaam,,,['Bos'],Het voedselbos grenst aan natuur,[37573],Weiland
Opgave: 14-jul-2024 – bij: Voedselbos Woest,Kleigrond,60-120 centimeter onder het maaiveld,0.82,2021,2,20000,20240714,,,,,,,,,,Talrijk,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,Talrijk,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Schaars,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bos'],Het voedselbos grenst aan natuur,[37474],Weiland
Opgave: 10-jul-2024 – Eerste peer bij: RENK voedselbos 2,Zandgrond,15-60 centimeter onder het maaiveld,0.81,2022,0,19987,20240710,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,Talrijk,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[42618],Akkerbouw
Opgave: 28-jun-2024 – sHV-plot2 bij: &#8216;s Heeren Vruchten,Zandgrond,15 centimeter onder het maaiveld,0.85,2022,4,20000,20240628,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,Talrijk,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,Schaars,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Schaars,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[42584],Weiland
Opgave: 28-jun-2024 – sHV-plot1 bij: &#8216;s Heeren Vruchten,Zandgrond,15 centimeter onder het maaiveld,0.86,2022,4,20000,20240628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,Schaars,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Talrijk,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,Zeldzaam,Schaars,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[42565],Weiland
Opgave: 29-jun-2024 – testplot voedsel in het bos bij: Voedselbos Ouwe-Syl,Kleigrond,60-120 centimeter onder het maaiveld,0.91,2020,0.5,12500,20240629,,,,,,Zeldzaam,,,Zeldzaam,,,,,,,Schaars,,Talrijk,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,Talrijk,,Soort domineert (gehele plot wordt er door bedekt),,,,,Zeldzaam,,,,,,,,,,,Talrijk,Talrijk,,,,,Talrijk,,,,,Talrijk,Talrijk,,Schaars,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,Schaars,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,Zeldzaam,,,,Talrijk,,,,,,,,,Schaars,,,,,,,,,,,,,,,,['Bos'],2 kilometer,[11982],Gemengd bos
Opgave: 01-jul-2024 – plot 24.10.2021 rond de omgevallen appelboom bij: Voedselbos Achel,Zandgrond,15-60 centimeter onder het maaiveld,0.82,2019,15,5000,20240701,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Zeldzaam,,,,Zeldzaam,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Talrijk,,,,,,,,,,Schaars,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,"['Bos', 'Recreatie', 'Natuur']",Het voedselbos grenst aan natuur,[14837],verwilderde  boomgaard 
Opgave: 25-jun-2024 – bij: Willemsbos,Zandgrond,15 centimeter onder het maaiveld,0.96,2022,-2,10000,20240625,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Soort domineert (gehele plot wordt er door bedekt),,,,Soort domineert (gehele plot wordt er door bedekt),Schaars,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,Talrijk,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,Talrijk,,,,,,Talrijk,Talrijk,Talrijk,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,Schaars,,Zeldzaam,,,,,,,,,,,,,Talrijk,,Soort domineert (gehele plot wordt er door bedekt),,,,,,Talrijk,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Soort domineert (gehele plot wordt er door bedekt),,Talrijk,,,Zeldzaam,,Soort domineert (gehele plot wordt er door bedekt),Soort domineert (gehele plot wordt er door bedekt),,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,Schaars,,,,,,,,,,,,,,Schaars,,,,,Schaars,Zeldzaam,Schaars,,,,,Talrijk,,,,,Soort domineert (gehele plot wordt er door bedekt),,,Soort domineert (gehele plot wordt er door bedekt),,,,,Zeldzaam,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[42503],Akkerbouw
