ParameterOmschrijving,count_clusters
chlorofyl-a,17
zuurstof,12
Olie,12
Schuim,12
Vuil,12
nitraat,10
koolstof organisch,10
koper,10
kwik,10
lood,10
magnesium,10
naftaleen,10
natrium,10
nikkel,10
pyreen,10
nitriet,10
"indeno(1,2,3-cd)pyreen",10
som 10 polycyclische aromatische koolwaterstoffen (VROM),10
som 16 polycyclische aromatische koolwaterstoffen (EPA),10
som nitraat en nitriet,10
stikstof Kjeldahl,10
stikstof totaal,10
sulfaat,10
waterstofcarbonaat,10
zink,10
kalium,10
fluoreen,10
fosfor totaal,10
fosfaat,10
acenafteen,10
acenaftyleen,10
ammoniak,10
ammonium,10
antraceen,10
benzo(a)antraceen,10
benzo(a)pyreen,10
benzo(b)fluorantheen,10
benzo(ghi)peryleen,10
benzo(k)fluorantheen,10
cadmium,10
calcium,10
chloride,10
chroom,10
chryseen,10
"dibenzo(a,h)antraceen",10
fenantreen,10
fluorantheen,10
Biochemisch zuurstofverbruik met allylthioureum,10
Badgast,2
