ParameterOmschrijving,count_clusters,count_clusters_with_forest,has_forest
chlorofyl-a,17,17,True
zuurstof,12,12,True
Olie,12,12,True
Schuim,12,12,True
Vuil,12,12,True
nitraat,10,10,True
koolstof organisch,10,10,True
koper,10,10,True
kwik,10,10,True
lood,10,10,True
magnesium,10,10,True
naftaleen,10,10,True
natrium,10,10,True
nikkel,10,10,True
pyreen,10,10,True
nitriet,10,10,True
"indeno(1,2,3-cd)pyreen",10,10,True
som 10 polycyclische aromatische koolwaterstoffen (VROM),10,10,True
som 16 polycyclische aromatische koolwaterstoffen (EPA),10,10,True
som nitraat en nitriet,10,10,True
stikstof Kjeldahl,10,10,True
stikstof totaal,10,10,True
sulfaat,10,10,True
waterstofcarbonaat,10,10,True
zink,10,10,True
kalium,10,10,True
fluoreen,10,10,True
fosfor totaal,10,10,True
fosfaat,10,10,True
acenafteen,10,10,True
acenaftyleen,10,10,True
ammoniak,10,10,True
ammonium,10,10,True
antraceen,10,10,True
benzo(a)antraceen,10,10,True
benzo(a)pyreen,10,10,True
benzo(b)fluorantheen,10,10,True
benzo(ghi)peryleen,10,10,True
benzo(k)fluorantheen,10,10,True
cadmium,10,10,True
calcium,10,10,True
chloride,10,10,True
chroom,10,10,True
chryseen,10,10,True
"dibenzo(a,h)antraceen",10,10,True
fenantreen,10,10,True
fluorantheen,10,10,True
Biochemisch zuurstofverbruik met allylthioureum,10,10,True
Badgast,2,2,True
